username,blockchain_address,contributor_type,points
u/International-Fun485,0x4dfb9D63B9F216e59D85733D9b99A534206e9019,contributor,69282
u/tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,contributor,65640
u/Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,contributor,53350
u/KingDiamond2000,0xD0E601998B63A9dd5a6Cf8fBcdC42736Fd183600,contributor,50846
u/Junior_Long_257,0xb26dBd3EFDee329162C8b3b18bB7B5B11452ea7E,contributor,44815
u/iantonio_007,0x21eE685f79f67F9c459e4a56d1d2A8722cd926FF,contributor,44746
u/Icy-Order-3200,0xdbc54173874eBc2D30a6ba3DAF971Cb3A0B0C3ac,contributor,43176
u/Big-Ad4782,0xd15D2B702abE003d1c7E1FB340d692b9cb229ab6,contributor,41787
u/LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,contributor,41446
u/MicThess,0x6DBbae34EfeD73c2fe9fA67cF929408F60e2320c,contributor,38669
u/furysammy,0x76e419ef20Af6528845bAC54DF4D5252A9cB3Cdf,contributor,38419
u/wakacyjnepierdolenie,0xfB83350220bE8b6a7e1AF2d100a9F8260eDF3e82,contributor,38100
u/Suthekingg,0x02801E0a37E6DbB71E1df771fe5467a23916A47D,contributor,37326
u/SauceMaster145,0xF79fBA163e9e5ccF83fc601552B1df880b782892,contributor,35164
u/Same-Row-4665,0x280cD1b704519c40745BafF5f578E1445012e89B,contributor,35005
u/Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,contributor,34094
u/Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,contributor,33503
u/bigmammoth2310,0x38F6d05EF598C76D183Cf25e296687fd74400d38,contributor,31568
u/JeffyJackson101,0x49488475cE9e42230Aa3ef9E8E381Bd505bc6636,contributor,30863
u/TheRock_97,0xfd91efB5990DCd90588ECA99f9C4b8a9386B3C85,contributor,29383
u/gustavossj,0xE1282993bF336883e0C2F9dab5A39f16Ffa0c7e0,contributor,29269
u/InevitableComplex895,0xe1C712Df934f18486A7605D80ca0B310340A4E52,contributor,28109
u/666CryptoGod420,0x7E73E49E524A95dC0E1Ba9355Dc2BdE4Db443580,contributor,24535
u/greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,contributor,21667
u/SxQuadro,0xC8D7219527E1fe9f938D66fF13bCbc8A5b04351e,contributor,21212
u/UnknownWhereabout,0xe9D5d04b901B96F79E0dD11c8dDd13a92Dc09526,contributor,20484
u/Obvious-Ad-438,0x505272C76B9c30f31C281de445ad4cBf15d9301E,contributor,20233
u/LatestHuckleby,0xa8749a1888bbc232cdd8ca9F1a41c9C2d0Ba909F,contributor,19915
u/merely_inappropriate,0x547e590DC3DEdf8e90d5D5A42F2acee7b7854775,contributor,19755
u/Smooth_Sympathy_6273,0xcdfa96C483DE1751Ee9F7f1CE9B2D44246A11591,contributor,19482
u/Hastyrunner245,0x6a77ABF2c13fF3893Ca81fe614aa51c165FE7530,contributor,19369
u/Weedzone1,0x1BD57e2f488ce66CEd363397d3C9bC2C0BfA97ce,contributor,19164
u/rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,moderator,18700
u/kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,moderator,18700
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,moderator,18700
u/nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,moderator,18700
u/aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,moderator,18700
u/carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,moderator,18700
u/Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,moderator,18700
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,moderator,18700
u/Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,moderator,18700
u/Reverbed-Berry,0xB421607d7CF8567FDB9adc1b609806d89620f502,contributor,18003
u/AnecdotallyImpressiv,0x720E18b940Ab3F35ED85Cb964BEA25410ac545f1,contributor,17980
u/MaximalAnarchy,0xC57d10967ecbBd40366a4db850a363870342Bc5b,contributor,17479
u/PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,contributor,16706
u/painis_my_ainis,0x686F30956Dcba3Be6702C6225e1f04253017cc8C,contributor,16683
u/EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,contributor,15431
u/raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,contributor,15226
u/Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,contributor,14361
u/naji102,0xbA191Dc80e45D512AbB45Cc08B9bF37F298Ac70d,contributor,12563
u/LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,contributor,12313
u/Playful_Ad_1508,0xCFCBbf4d3e726A5e5102D0C9BDaf730584A0ea07,contributor,11835
u/PierluigiPeppino,0x4048c0F80346A58799C77214010941c6c222cEA0,contributor,10674
u/SwingContent6806,0x58F1788eE66AcD09A00D039229bf25678ba04c84,contributor,10651
u/FranDavilaR,0xc711C3554398d0D2639aB319C00fAE08d400a102,contributor,10629
u/Spare_Imagination648,0x8dcd296041839eb7182E1F8DD1dbedaB9Ff1d6dB,contributor,10287
u/dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,contributor,9900
u/JollyFaithlessness3,0x2Aa4691B454aC60EBE4C5Ec25c6c924ecC1AE6D6,contributor,9604
u/bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,contributor,8990
u/coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,contributor,8444
u/Littlebig4667,0x9D20bD90CD8b496b96F180AE4D505599169c2287,contributor,8398
u/MinnesotaNice92,0x31a3c4BD4A1b016564544EFA4c3FA7A7c3d9a8F2,contributor,7875
u/Jozozozo,0xEdf819540F3Bc13E2BA1854DDD29B731975fBf33,contributor,7328
u/QuizureII,0xa8Db1B74C2fd76F5746a0CE13c94c059Bd4Ca808,contributor,7146
u/Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,contributor,6828
u/Not-a-German,0xc16f7deE40E85eE1DedD2efE341C1Bf4627d432f,contributor,6463
