username,removal
brummettdane03,karma
RoyalDefinition6798,karma
TheSugaryKingg,karma
Ashamed-Salary5692,age
Mk_Makanaki,karma
Downtown_Orange_3717,karma
Dependentbruhh,age
Sad-Dot000,suspended
tonafication,deleted
New_Turn_8203,karma
HealthyStatement8544,karma
jrozyki,karma
BloodSilvers,karma
xorpix,karma
burntoashess,karma
666CryptoGod420,banned
Gubbie99,karma
sidmehra1992,karma
BimblyByte,karma
GradeNo37,karma
Jaydikins,karma
Interesting-Cap3040,karma
toshkan,karma
kytranl0,karma
AlteredCabron,suspended
SerializeField,karma
OctoBitcoin,karma
chamks1920,karma
Traditional_Tie_6376,karma
604yeet,karma
dataalways,karma
WebterLuu,karma
Seeker993,karma
Beginning_Actuary_54,karma
skytte_dk,karma
xtokenchad,karma
unformal_brief,karma
cubestrandcocktail,karma
Rich_Vacation_8372,karma
ThisIsMyReal-Name,karma
benjamiNNn00,karma
