username,address,contrib,donut
International-Fun485,0x4dfb9D63B9F216e59D85733D9b99A534206e9019,73526,0
tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,73795,0
Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,61169,0
KingDiamond2000,0xD0E601998B63A9dd5a6Cf8fBcdC42736Fd183600,83391,0
Junior_Long_257,0xb26dBd3EFDee329162C8b3b18bB7B5B11452ea7E,52521,0
iantonio_007,0x21eE685f79f67F9c459e4a56d1d2A8722cd926FF,73562,0
Icy-Order-3200,0xdbc54173874eBc2D30a6ba3DAF971Cb3A0B0C3ac,107223,0
Big-Ad4782,0xd15D2B702abE003d1c7E1FB340d692b9cb229ab6,60083,0
LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,45824,0
MicThess,0x6DBbae34EfeD73c2fe9fA67cF929408F60e2320c,69328,0
furysammy,0x76e419ef20Af6528845bAC54DF4D5252A9cB3Cdf,57866,0
wakacyjnepierdolenie,0xfB83350220bE8b6a7e1AF2d100a9F8260eDF3e82,38100,0
Suthekingg,0x02801E0a37E6DbB71E1df771fe5467a23916A47D,57619,0
SauceMaster145,0xF79fBA163e9e5ccF83fc601552B1df880b782892,38416,0
Same-Row-4665,0x280cD1b704519c40745BafF5f578E1445012e89B,82583,0
Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,40416,0
Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,36675,0
bigmammoth2310,0x38F6d05EF598C76D183Cf25e296687fd74400d38,51900,0
JeffyJackson101,0x49488475cE9e42230Aa3ef9E8E381Bd505bc6636,38735,0
TheRock_97,0xfd91efB5990DCd90588ECA99f9C4b8a9386B3C85,35860,0
gustavossj,0xE1282993bF336883e0C2F9dab5A39f16Ffa0c7e0,30007,0
InevitableComplex895,0xe1C712Df934f18486A7605D80ca0B310340A4E52,37494,0
666CryptoGod420,0x7E73E49E524A95dC0E1Ba9355Dc2BdE4Db443580,30996,0
greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,22794,0
SxQuadro,0xC8D7219527E1fe9f938D66fF13bCbc8A5b04351e,31373,0
UnknownWhereabout,0xe9D5d04b901B96F79E0dD11c8dDd13a92Dc09526,20484,0
Obvious-Ad-438,0x505272C76B9c30f31C281de445ad4cBf15d9301E,42371,0
LatestHuckleby,0xa8749a1888bbc232cdd8ca9F1a41c9C2d0Ba909F,19915,0
merely_inappropriate,0x547e590DC3DEdf8e90d5D5A42F2acee7b7854775,19755,0
