username,address,contrib,donut
Icy-Order-3200,0xdbc54173874eBc2D30a6ba3DAF971Cb3A0B0C3ac,71488.5,0
Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,46680,0
Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,36829.5,0
Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,38088,0
iantonio_007,0x21eE685f79f67F9c459e4a56d1d2A8722cd926FF,34172,0
dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,37978,0
SauceMaster145,0xF79fBA163e9e5ccF83fc601552B1df880b782892,26205.5,0
Past-Association9320,0x12713A2126ec8D79E7E2e09105BFdD1c86eC59E4,34249,0
Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,29554.5,0
Junior_Long_257,0xb26dBd3EFDee329162C8b3b18bB7B5B11452ea7E,23973.5,0
RightRaisin,0x8ABf3FC0c7fd9625D0ff6FFFDe4574C6273eFC3A,24749,0
Odd_Mulberry_9813,0xf214d52D850E3Eb7aa2c077d02CAc821D2579F6d,18970.5,0
PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,31955.5,0
Big-Ad4782,0xd15D2B702abE003d1c7E1FB340d692b9cb229ab6,18900,0
TheRock_97,0xfd91efB5990DCd90588ECA99f9C4b8a9386B3C85,21624.5,0
raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,17174.5,0
Desperate_Day_8813,0x759cFA2dC906E369fF434F6e15d2b9352c68a34f,11434.5,0
LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,11411,0
Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,23445,0
aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,11345.5,0
Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,10963,0
Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,9628.5,0
EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,27123.5,0
carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,9592,0
nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,9350,0
kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,19525.5,0
rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,9583.5,0
tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,13599.5,0
maverick950,0x637667667Dd8Ce90eb3eb758BAb23B8d8C0289DD,11257,0
JeffyJackson101,0xFB0540545D81E964d9c3da114233501bC110Ed58,17297.5,0
FunExpression1858,0x7d982fd753a8F235f46DD2A165641A7293cAf08C,28461,0
alexo12,0x51502Abf396Dc1CF3DF067bdD8a994399543e714,16122.5,0
SwingContent6806,0x58F1788eE66AcD09A00D039229bf25678ba04c84,10478,0
Entire_Tree5894,0x5F0c47B2eccecbBE3d642528Bed5eaeeE60a2800,10698.5,0
The_Nutcrack,0x0B3AB5A8d926d07275291c074225f258d00B4F08,11826,0
cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,8561.5,0
Home-sweet2009,0x41FBef1FE9b15bce1dc7e1ffdFf6b4A522371758,12724,0
SxQuadro,0xC8D7219527E1fe9f938D66fF13bCbc8A5b04351e,48266.5,0
LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,10949.5,0
666CryptoGod420,0x7E73E49E524A95dC0E1Ba9355Dc2BdE4Db443580,34040,0
Laterxgater,0xB3731B4814DEC9893491822720224E710ad387FB,5856.5,0
TrashJonny,0xdeBFfC0A510D8630aCDD83411Fde31eed8Cf5d3D,8741,0
AmericanDervish,0xE01b18055603B89Db044F999683D7928201372BE,5043,0
ALiteralHamSandwich,0x5f9D94CC0071aCaF471Ec711143085E0DCdf453a,4973.5,0
comfyggs,0xe4C120ca4D1245292918395426E9C66Fb12e10D0,5890,0
ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,14165.5,0
Sunny-----,0x5c56F8A3538b22646AB938DDf229F7B93D45176f,4136.5,0
