username,address,contrib,donut
EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,84914.5,0
Crypto_Gaming_,0x58edD08A8f51ceA4c0faF176c71ab8C7c40ba1bc,72879.5,0
Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,40285,0
SxQuadro,0xC8D7219527E1fe9f938D66fF13bCbc8A5b04351e,55022,0
forthemotherrussia,0x85f59CBaD4232BBe88aa143d33B1AfcC2dA42027,43485.5,0
Targerian-King,0xB35b44068c106bdf0cB447B699D52100036Cb63D,55182.5,0
greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,27625.5,0
Nervous_Pin9456,0x4f1ffa62297a8acE18Ec7C84e0f0f000D727A509,44918.5,0
coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,23960.5,0
OPTIMUS-PRIME27,0x9dFc6AB6E13184bcf4bDb15C7d2f944F85C21D65,43848,0
666CryptoGod420,0x7E73E49E524A95dC0E1Ba9355Dc2BdE4Db443580,47285,0
MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,22457.5,0
RelationshipNo8916,0x62Cc468D212bFb7364363aAdEB2adFc988b88AFB,47827.5,0
Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,21590,0
QuirkyDescription836,0xdd658E0bf65A35410893c1779461787340A8Dd2B,44622,0
raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,34041.5,0
Grim--Reaper-,0xfC7fC0b5A5a9277cBd917D37e0855564BCeDcA7f,42821,0
bigmammoth2310,0x38F6d05EF598C76D183Cf25e296687fd74400d38,24930.5,0
Icy-Order-3200,0xdbc54173874eBc2D30a6ba3DAF971Cb3A0B0C3ac,15578.5,0
Humble-Grape1012,0xe1E21819b7F2918980bB85f9F1892e835215a026,34600.5,0
LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,13728.5,0
comfyggs,0xe4C120ca4D1245292918395426E9C66Fb12e10D0,12617,0
cryptbunks,0x8939F06ef2b75B5082767Ca6b0dAa2C0Fc1A82eE,12409.5,0
RayG1991,0x796F60CC634E9072FE0D702b05402Da5419Aaa0E,25015.5,0
SauceMaster145,0xF79fBA163e9e5ccF83fc601552B1df880b782892,11821,0
JeffyJackson101,0xFB0540545D81E964d9c3da114233501bC110Ed58,11766.5,0
Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,24935,0
eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,10631,0
aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,14484.5,0
kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,11105.5,0
carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,9350,0
Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,9378.5,0
dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,11990.5,0
rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,9407.5,0
nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,9350,0
ethereumshield,0x168a0997dbD0c93627edf7E3Ce0e0d4b31fBB1C1,8417.5,0
Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,9684,0
ethbullrun,0x9F822B3109BF243565C5123d8A614838668F06f1,8174,0
Imaginary-Adagio2231,0x99f5EeEBbc52b763C282f6d9350954C229fE458f,5916,0
SufficientMonkey,0xB04b53fC1E511D09651Cf48642469Ebc48C50f68,6357.5,0
Paper_cobbler,0x93D93069FBc8D0868b93c6bE9383eD9F85392474,21330.5,0
cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,5856,0
Soaring_Eagle590,0x35162A2ed27a8E2dC96471AB6Fb63e0Fd5058d46,15631.5,0
Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,6213,0
babossa77,0xcB2ACE31cc92f6182d27B294DE7246d39B7e315E,5318,0
0xholdthedoor,0x211D893F873C5e7e290bDCCC9bA6a00f4B8eBA20,4489,0
420weedscopes,0x4d22f2d09f9E49B014E3a1AFC4f903a25a8c17FD,8794.5,0
wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,4017.5,0
thecryptopile,0xFe980b1063c13d146E7BEA41Ab2fA9B98aeA3594,3728.5,0
-0-O-,0xD549A42b5dd6E06d6145ba65F99df4a0f282AdEf,3555,0
martelaxe,0x895708Fe6Fb1309Dc9e76Dbf88968691E82862b8,3381.5,0
Solstice_Projekt,0x38600AD0e62F7Cc75ff3115d5377DE0DD0F300E1,3294.5,0
towjamb,0x6AA08E1E39958055836F31906C6ff8c072e8C0F3,3294.5,0
PopeyesGreenSpinach,0xb92fB06841CdBd240563405a1C86Db1141Ba139B,3121.5,0
shostakofiev,0x143884B56a50c2cE9a90c4029F339672a8dFc1AE,2948,0
TrashJonny,0xdeBFfC0A510D8630aCDD83411Fde31eed8Cf5d3D,2582.5,0
ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,7867,0
Yinyangkarma060910,0x0eAfDE159A21Ca316e1fA7f64e7755e15B9C1349,14600,0
Massive-Tension-1055,0xae3e0e714362Fe0012776312Eba649691561F413,2312,0
RealLeoPat,0x613fF14bF204127bc672Ddc8A4480FCf5c6D9F99,2196.5,0
YOLObetsWIN,0x22e4b0dff9E0CcD19CcA3c8AcEd282e74A47B498,2023,0
gimmedatcrypto,0xFc1529F1E2Cc695ea8ef994dAbdBB5c53c032f04,1994,0
Aguaskeepartdeux,0x8F8E6bb6D20fB56a6988F91E60cf8b5437CC052f,1849.5,0
RickyRichard26,0x24881e056A896311Fd8a7A03ce197e61a6334918,0,0
j1mmie,0xBAe995278B1102CEb8E86d6eB87d5f0C1caa3986,1763,0
korben2600,0x31793cF3ad9bD868C3569D10387bea93E9C2822b,1705,0
Lee911123,0x21E024dCE5Ed2ab9951B3735151e351a7b6cE2C7,4322.5,0
d_d0g,0x83bE84249259865b3e5F1efC63a1B97c1B04cAEc,1589.5,0
ghfsigiwaa,0x49155896F97660E6eA12170ab63BFD5822E796Da,1281.5,0
DemApples4u,0x7FDCd2E33E371ec87B95bbFfc2554E0b2009E446,1531.5,0
angyts,0x27B04C7bB686d36f69D9A0bc83F50db316337748,1502.5,0
juxtaposezen,0x832E460b37b2964d016B7c0674032929fE0AF7d0,1474,0
ALiteralHamSandwich,0x5f9D94CC0071aCaF471Ec711143085E0DCdf453a,1416,0
jeffreythesnake,0x1D7B64421c367bA4EE02b399A698f9cb3e9d6676,1329.5,0
keatonatron,0x7c80435964Bde8071e1D3Df76Da870C2F03b44F2,1098,0
stedgyson,0xe2dAf0e33492720d5Fc29749CDfbEe46b46B27cc,1069,0
jvdizzle,0x75f5864f395C4c728921a8B3583eE36aaB59E248,1040.5,0
Giga79,0xA50d3EE17c994864F88a2acc24303860Ebc81F50,1040.5,0
ShinePDX,0x2ef2C68279e95809607A6a680da77e80556e5c2E,1011.5,0
LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,232.5,0
Arafel_Electronics,0xd87c138715649Aab580069F24e3716CC56A51C43,4056,0
mybed54,0x6ccbEa066517892Eb3e9547512Aa1110eEFefa1a,953.5,0
DingusKhan418,0xeAA182f57DEa360EBeFd61Fa2928a366aE8379dB,924.5,0
Arcc14,0x01aD78F7eE4305Fd6FBF79F1b770934431fdF3AE,867,0
RandomTask100,0x344d3FfCDD2490EB1DD99eae8e0B048E314210f7,838,0
Pitiful-Tap3578,0xFfC3eD1443F20B1f51F67b11d84d130605C9353f,1324,0
bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,588,0
FixFull,0x12FD083fC3d0dc46F087FF22a0b7cAF880904902,809,0
gnautilus,0xb3F619c19519b4f2eA3676ef935c7160094Ab487,809,0
hwaite,0x19dCB05BDc5226eEa5d908Db0DfC94E3bd755b50,780,0
Nikolai_Volkoff88,0x8AAfb3b4d83B91035066C671720172B492581C88,780,0
muitosabao,0x0E4ce26D348D1E5b02e0B30c87608abF596854e2,635.5,0
002timmy,0x2af5f3ec4875d9E827256FdA310d2a13B9f2a462,917.5,0
Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,635.5,0
coip,0xACe8C3A2b3F6021Bf28a41c00375cC8c60313A85,606.5,0
chipxsimon,0xF267f0A506bc539990947352C950fC8b12F245e3,606.5,0
heymeit,0xf320c25609d670674507f621DFb162cb4FFa7100,606.5,0
HeirOfRhoads,0x76Bd45c129803B26F3ac7977A8136f5749e8c791,0,0
ouyin2000,0x74fd1dd4015a1304A4181E3913d8C9293F461e18,578,0
