username,address,contrib,donut
EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,135911.5,0
Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,76896,0
Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,71690,0
JackkT89,0x92ddf53Bb00796626faC3ebA2EaC7952792616cb,66281,0
coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,42477.5,0
SakuraNinja12,0x18cB7b1163703459515c201fA57C0B29F9BeB4Ed,40390,0
cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,36388,0
illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,36778.5,0
raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,52132.5,0
Imaginary-Adagio2231,0x99f5EeEBbc52b763C282f6d9350954C229fE458f,42215,0
Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,23975.5,0
greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,17988.5,0
SauceMaster145,0xF79fBA163e9e5ccF83fc601552B1df880b782892,17565.5,0
Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,32948,0
MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,15779,0
eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,13664.5,0
JVHooligan,0x7B42384a6faE59cc0262CC70fCB85E8e4bd88eDD,20689.5,0
Icy-Order-3200,0xdbc54173874eBc2D30a6ba3DAF971Cb3A0B0C3ac,23532.5,0
Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,30202,0
cryptbunks,0x8939F06ef2b75B5082767Ca6b0dAa2C0Fc1A82eE,9853.5,0
aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,9750,0
Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,26549.5,0
kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,23462.5,0
carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,9350,0
rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,9383,0
nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,9350,0
dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,11713.5,0
Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,11235,0
bigmammoth2310,0x38F6d05EF598C76D183Cf25e296687fd74400d38,20979,0
JeffyJackson101,0xFB0540545D81E964d9c3da114233501bC110Ed58,21412,0
SxQuadro,0xC8D7219527E1fe9f938D66fF13bCbc8A5b04351e,7989.5,0
Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,7429.5,0
TommyBleau,0xA7CB184218cD1f644627cF8C057CEC5781C28450,6857.5,0
Targerian-King,0xB35b44068c106bdf0cB447B699D52100036Cb63D,9469,0
Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,5651.5,0
FunExpression1858,0x7d982fd753a8F235f46DD2A165641A7293cAf08C,5061.5,0
Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,19955.5,0
Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,8584,0
PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,3720,0
LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,5126.5,0
mybed54,0x6ccbEa066517892Eb3e9547512Aa1110eEFefa1a,7805.5,0
ETHWarrior0,0xf2B70c5D0AD665aE4038c02F142a0bE4D3143A5A,4760,0
Vivarevo,0x8a945Ff7dBC68D7DEFeA264c9B838F6824671c01,4294,0
tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,11725,0
Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,3661.5,0
LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,18767,0
imjakedaniels,0xD7Fa72199Dd1B5F281Bc3D923918ebE56A6bb07b,3311.5,0
wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,3561.5,0
ghfsigiwaa,0x49155896F97660E6eA12170ab63BFD5822E796Da,3888.5,0
ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,12601,0
666CryptoGod420,0x7E73E49E524A95dC0E1Ba9355Dc2BdE4Db443580,5498,0
bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,9138.5,0
gautam_777,0xBc4dffA5d9747Fe45F32F6B6c465a49052BFe4BB,2862.5,0
sartoshi_nft,0xBe822892cAcD6c7E4d312303e3caaf79EAE2A7B7,2663,0
