username,address,contrib,donut
Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,58055.5,0
Sweeteclipse,0x7ff541128f57963A7f67C44d2AcEaB5018da94b2,71569.5,0
LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,47597,0
MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,42420,0
Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,57551,0
coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,35326,0
bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,42170,0
raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,58332.5,0
eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,45164.5,0
aspiras213,0xdC5d06f1056F2796834e9bEdDE6afa45Ed0e322A,30346.5,0
Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,41036,0
illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,55035,0
Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,57795.5,0
JackkT89,0x92ddf53Bb00796626faC3ebA2EaC7952792616cb,25533,0
Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,21459.5,0
Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,42421,0
0xholdthedoor,0x211D893F873C5e7e290bDCCC9bA6a00f4B8eBA20,22059.5,0
EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,35566.5,0
Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,28852,0
Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,28727,0
PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,14674.5,0
tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,17525,0
Icy-Order-3200,0xdbc54173874eBc2D30a6ba3DAF971Cb3A0B0C3ac,10737,0
cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,11247,0
FunExpression1858,0x7d982fd753a8F235f46DD2A165641A7293cAf08C,13453.5,0
nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,9350,0
carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,9350,0
aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,9350,0
Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,9840.5,0
kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,17841.5,0
dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,9675,0
rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,10893,0
ReitHodlr,0x1b036f17F5DcB000005e14773f8636b4dde76e39,11326,0
Vivarevo,0x8a945Ff7dBC68D7DEFeA264c9B838F6824671c01,9296,0
Samir2298,0x54C334fa1A5BC243874eB6f7573E2e6e4e305Df0,10790.5,0
Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,29012,0
RickyRichard26,0x24881e056A896311Fd8a7A03ce197e61a6334918,10591.5,0
norrissifford8474,0xE1408f0dDEdd8846A7Ef33b2885e8c5b4E6721E1,17407.5,0
dericecourcy,0x4275bda9709E948FeC49C793fdb13D4a5788d9af,7251,0
Seatdestroyer,0x56Bf2b7414b3d26191b965D53Aba1CD768df860E,14239.5,0
Aguaskeepartdeux,0x8F8E6bb6D20fB56a6988F91E60cf8b5437CC052f,6414,0
JeffyJackson101,0xFB0540545D81E964d9c3da114233501bC110Ed58,11042.5,0
_ArtosisCurse_,0xad73d8b4a8DC308D8DF69FCBb53650E3e4518082,13572.5,0
RayG1991,0x796F60CC634E9072FE0D702b05402Da5419Aaa0E,17909,0
Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,4694.5,0
brummettdane03,0x1A6641417914C3a651b394B39741DEf8E3cb41c7,4399,0
busmobbing,0x2057d2850219F64e6fBbe1bA30d4A70a74C5617f,4165.5,0
pcmasterrace4201,0x8f1Ce9Ee32676Eb8b917518348B12F5c6d1D04Fb,7638,0
AJoyfulProcess,0x1F69f495c002d29450eFe0dA5101e467bcAC1F40,4043.5,0
energetic-dad,0xC67FA671B98D861A9c956c3DA8C570c977aC8c15,3811.5,0
cryptbunks,0x8939F06ef2b75B5082767Ca6b0dAa2C0Fc1A82eE,5989.5,0
002timmy,0x2af5f3ec4875d9E827256FdA310d2a13B9f2a462,5521,0
comfyggs,0xe4C120ca4D1245292918395426E9C66Fb12e10D0,7342.5,0
Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,2901.5,0
ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,7326,0
g_squidman,0x71c1c84BEF2e7483B69da8dB531844868D702feB,3300,0
420weedscopes,0x4d22f2d09f9E49B014E3a1AFC4f903a25a8c17FD,4122.5,0
PM_ME_YOUR_HONEY,0xB662E863aCAefDEE1C80Ef79590e1983981C3783,3114,0
AadamAtomic,0xe12F0d2977bD32835A7ad71398c02003E13b9C1b,2881.5,0
zombie_hobbes,0xB2f75F01F48c082912f657431EACF2e7aa9fFFa8,2835,0
JVHooligan,0x7B42384a6faE59cc0262CC70fCB85E8e4bd88eDD,2649,0
Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,3043,0
Mengerite,0x3E99E9d452A78ea9d110c8271789278958895bB3,2417,0
wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,4462.5,0
greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,2231,0
pythonskynet,0xe7F3c9746282d534f8C90fD410624333e23AC565,4631.5,0
root88,0xd12337B22b6C393edcCF8Db2bdcAA7B9839a257e,1998.5,0
bmahbub,0xd8cEf81f712F0b7823Ed444DC4169F0770baD48E,2831,0
Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,20523,0
Lexsteel11,0xc8B6ee0463144A18465024E0C7578579c033bB61,1859,0
Yogi_Kat,0x3EE5F735Dd07f8f5289faD1b9401a438ac62EFc9,3742,0
talentlessclown,0x55555F93eF16163A432E6e17C6bA656a20e51Dab,1719.5,0
Americanstandard,0x5a3572651Fad2c3f24A9b06516E6E41AB8C2577B,2647,0
RealLeoPat,0x613fF14bF204127bc672Ddc8A4480FCf5c6D9F99,1626.5,0
LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,1626.5,0
betweenthebars34,0xFF41dE2d6D1662EB05e1417228aE04e79Ee3f3cf,1487,0
Thin-Course-4054,0x33f65AbAF2eCf2460011bbA8a164673002e0e14F,1440.5,0
believeinapathy,0xe4e4f2F0b31AeBb536631C5bAbd4021b359198C3,1394,0
-0-O-,0xD549A42b5dd6E06d6145ba65F99df4a0f282AdEf,1162,0
deltavictory,0xD1A7c1ffD97e8fB1B7FD55c62C8b6a4a3bA45de4,1162,0
ismashugood,0x392319CD53fa7D2e9e738e1C66DF9929AaFd6168,1162,0
ALiteralHamSandwich,0x5f9D94CC0071aCaF471Ec711143085E0DCdf453a,1069,0
Ihad2saythat,0x4701B8e23e7A221F1B0C95310E358F4c4C2535f5,976,0
notaselfdrivingcar,0x7D2B3b8c752D38b0250FeD64f9F79B817b1D26A8,929.5,0
deluded_soul,0xB04d7EFfdEDCcFAa405BC68C5bF73153F31e0b1b,929.5,0
Nyxxsys,0x9503718271Dec39cB4d3E3473C382Fbe41884C4F,883,0
sidmehra1992,0x8b8b367466CAD36cbbD3dde46682927371dFF630,883,0
abcoathup,0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1,633,0
jmbsol1234,0x7E661089C4Aa6cDFd2C0aDf3F752c87765a38F0E,883,0
trancephorm,0x062d3A310386c91b51Ab0EEb3A3eDBa5028DEaC1,836.5,0
hnr01,0xd92eac431b6b63C95FdEcF91784eeaA47d391DbD,790,0
ethbullrun,0x9F822B3109BF243565C5123d8A614838668F06f1,697,0
j1mmie,0xBAe995278B1102CEb8E86d6eB87d5f0C1caa3986,650.5,0
Guyserbun007,0x214b56307f0da66d699b3DA831895D4EEd2947B5,557.5,0
ec265,0x599D2C30fB3e070B8d16248541d46906ae48C86d,557.5,0
MkWPB,0x46FdD3378dF1856Ed06CEC671Dc7f8FC44a716E3,557.5,0
IamAFlaw,0x92101D5131D2b8453E3F71077b78331907a52BDC,511,0
Kindly-Wolf6919,0xEca23ebdfDf663d499891a833D22956a6f65DFA2,511,0
NoDesinformatziya,0xc4C87313e79d7d7f91Ae75692b5D1aeD253B118a,511,0
Memeboidad3,0xCd909F639eD2b6942CdED406010575D0b58123d0,511,0
LWKD,0x313Fa8a362d5c0C3d5c5F408F1703f9Cbb3b7516,464.5,0
shrike92,0xfe32a5D76C044De764fD7Dfc234A5F8590976979,464.5,0
Eccentricc,0x197eA6632C1D5FE53AE315D9dF450aE134Dc6e96,464.5,0
Robdeprop,0x7971Aa75bDF95C36A5106f5a292A74d4a38b278F,464.5,0
bri_82,0x5eDA8b2c9CF43885396113a34c47bF7CbF026860,464.5,0
Spare_Imagination648,0x8dcd296041839eb7182E1F8DD1dbedaB9Ff1d6dB,2859.5,0
The_Vegan_Chef,0x196ee87CE11A07ec155773Aea61f6d192A9032c6,418,0
specific_tumbleweed,0x138aF5DA1A3D76DFAfd6EA53CBded4e139c030Fd,418,0
mstrkit,0x1E81C5A32f8d8C72E6bA6ac0E8CB024D729977E5,418,0
tells,0xb8d432B145A069F95173873BE6bA3ed4b7Ed9821,418,0
Eru_Iluvatarh,0xb8F82344F9708E0B59130cc961714Fd219cB7D98,371.5,0
na3than,0x88c9Af16a88487e43F3A8fDbf1580Ab6399FcDFF,371.5,0
BlazedAndConfused,0x6CfB6f1c8E4285808a25FCCf3ecD8cb95c38bb72,371.5,0
jeffreythesnake,0x1D7B64421c367bA4EE02b399A698f9cb3e9d6676,371.5,0
enpe,0xfdAE1d3A875CBF0fBec4714AfA30D2EEe3B47a37,371.5,0
ETHBTCVET,0x8342D70dc085fa5D8E759F2bf4dE114fF46f81E9,371.5,0
chucchinchilla,0x8D6eC6aBAfd2e5578d6F00584bB1F0492e702105,371.5,0
TheGassyPhilosopher,0x093C515D23d7575258731966ad6F53C28DB392A3,325,0
steamyp,0x268d91CAA7B25eC0Fe3D84bca24d5230a6aAF1d1,325,0
Gillioni,0xfDB3E2E42bBD042D13d30AD88DC1ccCE3db6b446,325,0
wytherlanejazz,0x9663DcbcF075ab5d3A1aE2e96A52DbdD88c886Ff,325,0
bro_can_u_even_carve,0x4aAF915967B41A77D11adca432a1a2779937e71C,325,0
fractionofawhole,0xc25c912Efce700Ad1042CFaCaeF145195217BDC8,325,0
php_questions,0xb1888af730fB298d60be5726f3C06275851aAb1a,325,0
SourlandRides,0xFfCC2C7f5F046A4ad767B1bB54d71535cc7F1C35,325,0
cutoffs89,0x602D1AD7395DAf8c1A07Ff8d8d82130532EA7DF8,278.5,0
fulento42,0xa1523c475292067C102C6D5C68c4c194B8f264C2,278.5,0
Only1Shock,0xf7BE71C68df68d24574E9bCb85F3B224f37B3a49,278.5,0
Moikee,0x641b6a9c53b9e12947f77354d6E387C26A1B7D68,278.5,0
TripleReward,0x9E7105436F494938814E5a0bd9284C82c52f9766,278.5,0
SecondTimeQuitting,0xb0cE83158AB1B9A6244BD72d6124b8D0B805f7D9,232,0
MaraMerce,0x9FB8520242145d8380C03CF820D72019bE65583C,232,0
PumpkinSpice2Nice,0xD0FAee7D6405e0F620907B3381E8F56627E2FcfA,232,0
