username,address,contrib,donut
MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,94140.5,0
Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,92911.5,0
fishcalledbob,0xE52d66C0c9794862a9c7bc53DdFd2F3112607Fab,151114,0
whodontloveboobs,0x133299c1c5bc0C64eb1365444031fDa1161E0F58,48535,0
illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,74253.5,0
Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,37119,0
Malixshak,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f,30614,0
Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,27042.5,0
raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,41234.5,0
coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,24027,0
Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,50921.5,0
Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,21589,0
bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,32091.5,0
cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,29612.5,0
Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,28644,0
eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,38416.5,0
TrashJonny,0xdeBFfC0A510D8630aCDD83411Fde31eed8Cf5d3D,17616,0
Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,22200,0
cryptbunks,0x8939F06ef2b75B5082767Ca6b0dAa2C0Fc1A82eE,14157.5,0
EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,39062.5,0
LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,10710,0
Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,23420,0
rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,9586.5,0
aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,12986,0
dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,13264,0
nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,9350,0
kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,10676.5,0
Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,18941,0
Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,10108,0
carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,9350,0
greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,9878,0
Junior_Long_257,0xb26dBd3EFDee329162C8b3b18bB7B5B11452ea7E,13128.5,0
Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,11325.5,0
wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,8245.5,0
Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,10759,0
LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,29308.5,0
Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,27168.5,0
420weedscopes,0x4d22f2d09f9E49B014E3a1AFC4f903a25a8c17FD,16378.5,0
thecryptopile,0xFe980b1063c13d146E7BEA41Ab2fA9B98aeA3594,6184,0
Vivarevo,0x8a945Ff7dBC68D7DEFeA264c9B838F6824671c01,4739,0
hnr01,0xd92eac431b6b63C95FdEcF91784eeaA47d391DbD,4075.5,0
tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,3730.5,0
aspiras213,0xdC5d06f1056F2796834e9bEdDE6afa45Ed0e322A,6742,0
DevelopmentMoney7170,0xf3290E9d3bE321c3BcFE49b1161B6Af2F4Ff2cEf,0,0
majorpickle01,0xe8BE5A3B1108AF490745AA88A4Db4b9015030Ece,2416.5,0
ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,6165.5,0
RealLeoPat,0x613fF14bF204127bc672Ddc8A4480FCf5c6D9F99,2227,0
_extra_medium_,0xDa7Df9e052E11CCdc74943bEB9Aff30a27bF0110,2132.5,0
JackkT89,0x92ddf53Bb00796626faC3ebA2EaC7952792616cb,2914.5,0
busmobbing,0x2057d2850219F64e6fBbe1bA30d4A70a74C5617f,1895.5,0
Ashamed-Salary5692,0x8eBF31A4b979813838dda8c107Ae2e588C5ad1b6,3692,0
Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,19679.5,0
JVHooligan,0x7B42384a6faE59cc0262CC70fCB85E8e4bd88eDD,2474.5,0
IamAFlaw,0x92101D5131D2b8453E3F71077b78331907a52BDC,1753,0
Additional-Bug-7537,0xBA5FCe24425fA4410d2D8eE9A3Ae7FCBa879ACAE,4888,0
ghochumal,0xaFd2141A0DE3CE28d4E47ba0E7E94b1f8df02e52,1706,0
Ch40440,0x8410926B0f5Ad6223343cD6C53C7cB33c3008A30,1563.5,0
Shillofnoone,0x69Ab4786877947B84F5A2F85A0a8A9b4700950e8,1516,0
Cyber-Cafe,0xdB950096F33FE54759a2C62471D7Ce26e6316009,1516,0
brbinsky,0xa142dfCcBf0B9186950a73531B26fd9a9D0a9633,1469,0
0xholdthedoor,0x211D893F873C5e7e290bDCCC9bA6a00f4B8eBA20,7402.5,0
Kindly-Wolf6919,0xEca23ebdfDf663d499891a833D22956a6f65DFA2,1421.5,0
Savi321,0x7eA45e32a4F75F79615e1C77fA017F2ac4fE66AB,1109.5,0
highBrowMeow,0x4ef02298e0797385187551CEf9D4F92bA3F85AC4,1326.5,0
