username,address,contrib,donut
MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,101371,0
Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,50170,0
fishcalledbob,0xE52d66C0c9794862a9c7bc53DdFd2F3112607Fab,46231,0
Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,78440,0
Malixshak,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f,33637.5,0
EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,62855.5,0
coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,30795,0
eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,51498.5,0
Acceptable-Sort-8429,0xD2402fa7e38Ed36c6B11fF58D738AD262631d9Eb,35334,0
raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,41932.5,0
economist_kinda,0x09e8a60Fa9a4EeeCfe2f4eC2D08ddA56307d48C9,27918.5,0
LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,30064,0
illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,51161.5,0
Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,40357.5,0
ethereumshield,0x168a0997dbD0c93627edf7E3Ce0e0d4b31fBB1C1,21350,0
greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,26290,0
Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,24417.5,0
bzzking,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,23750,0
Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,32001,0
Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,29815.5,0
cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,24825.5,0
Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,26850.5,0
spacsandspacs,0xE0ae9458499f5F44F561b5DA6D0cd3355F9CE2Bf,23442,0
Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,21825.5,0
LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,25837,0
wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,9437.5,0
carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,8415,0
Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,8769,0
aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,10805,0
kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,12071.5,0
dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,8690.5,0
nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,8415,0
Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,19418.5,0
rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,9084,0
Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,12290.5,0
Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,22613,0
Ok_Election7896,0x8DfdD8E1f2EA3f70C7a5f0a42903A8239a83d313,6025,0
RealLeoPat,0x613fF14bF204127bc672Ddc8A4480FCf5c6D9F99,5749.5,0
Arafel_Electronics,0xd87c138715649Aab580069F24e3716CC56A51C43,9536.5,0
This_Red_Apple,0x0A2C343fc58354848508AB4A4c3AB41dFd39a793,5080,0
cryptbunks,0x8939F06ef2b75B5082767Ca6b0dAa2C0Fc1A82eE,8168.5,0
Savi321,0x7eA45e32a4F75F79615e1C77fA017F2ac4fE66AB,3883,0
htd_23,0x015cD83C989E98e522Fd8c2eb8bd2020180C3C51,4686,0
flak0u,0x2236e0C655138Ab9156061cBf67A1c0e88aa28f7,4371,0
PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,9115.5,0
JackkT89,0x92ddf53Bb00796626faC3ebA2EaC7952792616cb,5287,0
laulau9025,0x7C9aEC21A1C3E8fb8240C7fe9e968d184b215E61,3254.5,0
Mtballer09,0x7d42f7CeB9D64B753D08b61fAc8478F53b16ee82,5145.5,0
thecryptopile,0xFe980b1063c13d146E7BEA41Ab2fA9B98aeA3594,4323,0
Vivarevo,0x8a945Ff7dBC68D7DEFeA264c9B838F6824671c01,2599,0
Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,9018,0
offgridgecko,0x2496286BDB820d40C402802F828ae265b244188A,2323,0
ajnsd619,0xb8f524cD33A3A7AA94Ba1BED424362AEDBb211F8,2087,0
plxmtreee,0x5e0221176294cd64964074dC8A6562a4f082C7aE,2008,0
ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,5176.5,0
Fantastic-Offer-9129,0x76cA18FB5A1c48BF38e47F2D8239f038bD884813,2376.5,0
chi_chi_chimo_chimo,0xA434907f29BB981A58fbF2BB77d2C4729F7cA07C,1890,0
