username,address,contrib,donut
Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,101891.5,0
Friendly-Airline2426,0xCA7faf6c0441049e2F449fbA86B77587987A21Fe,63697,0
Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,69502.65,0
Lillica_Golden_SHIB,0xB1151e3F86D4FEbcc4f75Eb3ad8E6F39104daa06,49105.35,0
Agent_4--7,0x37DCB9A9C7e39BA3FdC3e57721aDb08Ed1302335,59165,0
illbeback_69,0xD50F8126B10dcdd03cF900A053f5Db78FBEA95b3,54872.5,0
Easy-Soup140,0xf53106887e33976408beA206B80E6276971cB0b1,43913,0
Elon_mkus,0x3cC47c557E985Cb8b52d1E263a1296fd2097121c,40436,0
MrThisThat,0xFC601d229a96a4994034b701275dac78803a70C1,24179,0
coinfeeds-bot,0xd056666321700092B032b2571431B2478cD6512E,24704.5,0
o_LUCIFER_o,0x551ff9235da502c518a353E1155CE1560A0D2005,31974,0
frogiscat,0x21Fad3D263e0fE8380C7EDbE8d9432Caf1fAd105,18076.5,0
Soaring_Eagle590,0x35162A2ed27a8E2dC96471AB6Fb63e0Fd5058d46,26720.5,0
ReitHodlr,0x1b036f17F5DcB000005e14773f8636b4dde76e39,20136.5,0
FattestLion,0x2dBB136D8DC31698ADA7C56E0853C255629d0cA6,16129,0
Acceptable-Sort-8429,0x600cBA9eCaB71BD06Cd90Ca2572fCF9379fbDbE9,17265,0
Roy1984,0x0cC7dAE1748e8E5371b2e2b47a5D9446E1D46546,20424.5,0
Yinyangkarma060910,0x0eAfDE159A21Ca316e1fA7f64e7755e15B9C1349,19613,0
aggressive_healer,0x7872d3a175642c25A048957a2bf7baE61E4d3CCb,18705,0
Icy-Profile-1655,0xc06479D09b3DE98Df54c77150075c5df38996138,15112.5,0
Kindly-Wolf6919,0xEca23ebdfDf663d499891a833D22956a6f65DFA2,15931.5,0
OPTIMUS-PRIME27,0x9dFc6AB6E13184bcf4bDb15C7d2f944F85C21D65,18538,0
tahiraslam8k,0x52C83fbEc050509468Dc7CEF0a2fFd81e95c9F1B,17910.9,0
Defiboy,0x18ED21788DD68d620D7d56dE059Cd5783B47e563,16844.5,0
-0-O-,0xD549A42b5dd6E06d6145ba65F99df4a0f282AdEf,8296.5,0
ethereum88,0x191692F362fC815F39ED894926cFd5E672e35B3E,12297,0
Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,11620,0
carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,7650,0
EthTraderCommunity,0xf7927bf0230c7b0E82376ac944AeedC3EA8dFa25,10866,0
Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,17212.125,0
nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,7650,0
dont_forget_canada,0x009af493e9A3a3Ba3DFfBF734E1B2a5B0352dF46,10500.525,0
Jake123194,0x48AFb64D55c79A2E711c14a2Bf903A7C3842baCC,10834.425,0
aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,19823,0
rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,7786.5,0
kohrts,0x4EF0eae978Cc851aD05f90D34cE58D51D27EB096,14648.55,0
cryptopunk661,0xAC18A1B674F7A966E57D1F08103F0efE2923cBa7,16081.5,0
Malixshak,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f,7254,0
brummettdane03,0x1A6641417914C3a651b394B39741DEf8E3cb41c7,7174,0
greenpepperhypernova,0xA3cf05bAd78612f9F5807b9939908A3827FB8e2B,10361,0
TheNano100,0x3A11c76440655D4DdFF16a4aDAbBa15E98E89786,6432.5,0
Nervous_Pin9456,0x4f1ffa62297a8acE18Ec7C84e0f0f000D727A509,8750,0
eat-sleep-rave,0x531bD0C1Ad5c2F25CC6A46C9e38B9C140587049F,13137,0
ALiteralHamSandwich,0x5f9D94CC0071aCaF471Ec711143085E0DCdf453a,6227.5,0
Crypto_Gaming_,0x58edD08A8f51ceA4c0faF176c71ab8C7c40ba1bc,11276.5,0
Dr_Tacopus,0xCb064B4Db662344101CBE52ef756998336bAfd88,5611.5,0
RealLeoPat,0x613fF14bF204127bc672Ddc8A4480FCf5c6D9F99,6938,0
QuirkyDescription836,0xdd658E0bf65A35410893c1779461787340A8Dd2B,13388.5,0
Big_Beyotch,0x00498C8EeD45FdD106Fe1C6a69d96DD4B6e8175A,17956.05,0
comfyggs,0xe4C120ca4D1245292918395426E9C66Fb12e10D0,9184.5,0
economist_kinda,0x09e8a60Fa9a4EeeCfe2f4eC2D08ddA56307d48C9,9402.225,0
Targerian-King,0xB35b44068c106bdf0cB447B699D52100036Cb63D,10780.5,0
JVHooligan,0x7B42384a6faE59cc0262CC70fCB85E8e4bd88eDD,4516.5,0
wen_eip,0x9653f86326fe986D45DaA16aE0b904AAA9F9Bcb4,6032,0
LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,4095.525,0
Mrramirez44,0x803Fa6b110d013ff4D9b2d7A081Edd8e4F10C3bd,5488.5,0
chillinewman,0xC9BEd71F2F1760002864E7ecCAA8C3f36fFc4745,3763.5,0
420weedscopes,0x4d22f2d09f9E49B014E3a1AFC4f903a25a8c17FD,3216,0
ForeignStylists,0x8CBFDC36a9e939aA7CfA7a8d60eE9A2e7608830d,3079.5,0
Arafel_Electronics,0xd87c138715649Aab580069F24e3716CC56A51C43,4331.25,0
clean_cut89,0xA7849028c7f37B092BA2CC13365F72A2AF9f0880,3957.5,0
RelationshipNo8916,0x62Cc468D212bFb7364363aAdEB2adFc988b88AFB,4615.5,0
Ropex007,0x9ae5BD9e66a71635E8a1a9feb210AE2851d2A0ae,4153,0
cryptbunks,0x8939F06ef2b75B5082767Ca6b0dAa2C0Fc1A82eE,3014.5,0
spacsandspacs,0xE0ae9458499f5F44F561b5DA6D0cd3355F9CE2Bf,6648.6,0
whodontloveboobs,0x133299c1c5bc0C64eb1365444031fDa1161E0F58,2883.5,0
Vivarevo,0x8a945Ff7dBC68D7DEFeA264c9B838F6824671c01,2532,0
raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,2665.5,0
FunExpression1858,0x7d982fd753a8F235f46DD2A165641A7293cAf08C,7694.5,0
Most_Being_4002,0x687B1FB763b9956500F18c5611D29eFC7B9c163A,2053,0
LostMyPPMs,0x119ECA67B5d5a6Ed85F5f0e56301273Bc56B84a8,2053,0
root88,0xd12337B22b6C393edcCF8Db2bdcAA7B9839a257e,1984.5,0
deluded_soul,0xB04d7EFfdEDCcFAa405BC68C5bF73153F31e0b1b,1847.5,0
RickyRichard26,0x24881e056A896311Fd8a7A03ce197e61a6334918,30839.5,0
brbinsky,0xa142dfCcBf0B9186950a73531B26fd9a9D0a9633,1779,0
Snoo_92843,0x65Fbaa1F5c7Cc72d3166843465109Bc7df7a2597,1460.5,0
korben2600,0x31793cF3ad9bD868C3569D10387bea93E9C2822b,1710.5,0
nobelcause,0x57855ca297ECB91EF1BE3CE1e74B9492CF50C69C,1574,0
Massive-Tension-1055,0xae3e0e714362Fe0012776312Eba649691561F413,1574,0
Cyber-Cafe,0xdB950096F33FE54759a2C62471D7Ce26e6316009,1505.5,0
Snowie_drop,0xfc2aBf2E25c0FDf1D4a6aF824E17CC91FFA92C89,1505.5,0
ethereumshield,0x168a0997dbD0c93627edf7E3Ce0e0d4b31fBB1C1,2464,0
Scholar2001,0xA36faC19b4AC60C0BecFF5f30f5F7D52aa3aA5aC,5478,0
002_timmy,0x70BA80d1F08289b1d73466Ac8Bd949e5B2AA8219,231.5,0
Fantastic-Offer-9129,0x76cA18FB5A1c48BF38e47F2D8239f038bD884813,1958.5,0
Visible-Ad743,0xAacc079965F0F9473BF4299d930eF639690a9792,1933.05,0
Grim--Reaper-,0xfC7fC0b5A5a9277cBd917D37e0855564BCeDcA7f,2144,0
php_questions,0xb1888af730fB298d60be5726f3C06275851aAb1a,889.5,0
MayorAnthonyWeiner,0x2CD9Db7F90ABDCD89d4559EF25F539c1ea1DCceC,821,0
ghochumal,0xaFd2141A0DE3CE28d4E47ba0E7E94b1f8df02e52,752.5,0
RayG1991,0x796F60CC634E9072FE0D702b05402Da5419Aaa0E,752.5,0
stedgyson,0xe2dAf0e33492720d5Fc29749CDfbEe46b46B27cc,752.5,0
daltadka911,0x244B99C038E960d7ca317368491d77D2b795cd29,395,0
drauthlin,0x58EF897418fC1818CAf0376aA41bc705A06fF41D,684,0
WeaselJCD,0x0b588BE805039Fa28CF4625281B6cE14635a5F9c,684,0
rare1994,0xd1d0c56075B61cd28f62c3bd2b37647703319d6C,684,0
Wonderful_Bad6531,0x823203809D31109e99F27092dE19F60a22DF61C5,365.5,0
keatonatron,0x7c80435964Bde8071e1D3Df76Da870C2F03b44F2,615.5,0
MrBrew,0x23129A7F5DC33459697c1680DF6e0a51D149B715,547,0
circleuranus,0xA32D5A833C11c702dF106519A0417386c7F9605c,547,0
daototpyrc,0xD4F8fdD249ba41323880CefECEBca2Ab590D571F,479,0
Ch40440,0x8410926B0f5Ad6223343cD6C53C7cB33c3008A30,479,0
PotentialClassroom75,0xEc5Dc2f4aae6401514F1205bF1f9B9143a0b8e0D,4121.5,0
j1mmie,0xBAe995278B1102CEb8E86d6eB87d5f0C1caa3986,479,0
Monster_Chief17,0xbCB5F95758Fee1A28C24a4C4F8473896F57f6a56,410.5,0
SusanForeman,0xd1297Fbc37295462322f28881DBD9a557d4317e0,410.5,0
geniusboy91,0x9B1d95c93ecd5ec23Bc883fa9899cFDA8e38779A,410.5,0
Atlasstorm,0xaD1388B8ea2617c8683B4797c67B396901d699De,410.5,0
ineedmoney2023,0x9A49439f6677d8F7CF26E7D2d353989B506ffC7E,410.5,0
ETHBTCVET,0x8342D70dc085fa5D8E759F2bf4dE114fF46f81E9,410.5,0
Savi321,0x7eA45e32a4F75F79615e1C77fA017F2ac4fE66AB,1151.5,0
LWKD,0x313Fa8a362d5c0C3d5c5F408F1703f9Cbb3b7516,410.5,0
Mtballer09,0x7d42f7CeB9D64B753D08b61fAc8478F53b16ee82,803,0
illram,0xbdF5D2E3375Dd61dd725F8f82b3b8b66004D67E0,410.5,0
flak0u,0x2236e0C655138Ab9156061cBf67A1c0e88aa28f7,410.5,0
Acidhoe,0x3048181b1ed56CE97ea4cFe2993c06b488D11fa6,342,0
shostakofiev,0x143884B56a50c2cE9a90c4029F339672a8dFc1AE,342,0
abcoathup,0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1,0,0
cee8719,0x76914F9ED1c3e647A627F81883434a19d08C6C9F,342,0
whoyoufoo101,0x6E6641923Fe552933Da54AF7B03A02EbBdCC36d1,342,0
PeacefullyFighting,0xF05a8D44DaD70D9981D5db25688ABDeE6040926f,342,0
flygoing,0xEC3281124d4c2FCA8A88e3076C1E7749CfEcb7F2,273.5,0
kvlle,0x40466F27912FA7Bf818Fda16839ce2f20494339B,273.5,0
TripleReward,0x9E7105436F494938814E5a0bd9284C82c52f9766,273.5,0
ParadoxSebx,0x1094A1724093Cbd6ab5D9e5514A1910f1d1462c2,273.5,0
thorsamja,0x172C2289bfD1163f5903495d90A23dFe96351698,273.5,0
salty-bois,0xC29236dA2212f7589115a53FabcDeB1bfA03ddFE,273.5,0
Thatythat,0x8026Be0a070a094313e8515e0e3D81c5d3967449,273.5,0
beep_bop_boop_4,0x4B7C0Da1C299Ce824f55A0190Efb13663442FA2c,273.5,0
Homunculistic,0xd092769f5374Cdbf01C5547A85aCAfEEe9e8d41a,273.5,0
chuloreddit,0xa252bac173C53c0eDcdD2b589d1E3F2f1e972244,273.5,0
cumbersomecloud,0x713B5512Ece674D2B9fE0FA8B6676e6021fAe6CF,273.5,0
ParticularAtmosphere,0x72F22Afe6ea512396a392eE5C6e4eFBA613373c8,273.5,0
chucchinchilla,0x8D6eC6aBAfd2e5578d6F00584bB1F0492e702105,273.5,0
z6joker9,0x96c32AC9F3fCf1077C25453BF85a7af3276D84c0,273.5,0
Zeranor,0x9526818A8F5d997652c213A28CC532Cf6B709aa4,273.5,0
rootpl,0xEdc0321b407b165CF926BE3E77ecB6C791f731bA,205,0
trancephorm,0x062d3A310386c91b51Ab0EEb3A3eDBa5028DEaC1,205,0
offgridgecko,0x2496286BDB820d40C402802F828ae265b244188A,205,0
beingsubmitted,0xE5a91DC29A06EbB52f8e95302b31F56fB7B66B0c,205,0
GapingFartLocker,0x36D0741763CDB650865c863b7ee9BB62Fa8c6103,205,0
ProudBitcoiner,0xCB5087251aEE160ffaEdE3dC75C91B8002bd9F05,3428,0
ghfsigiwaa,0x49155896F97660E6eA12170ab63BFD5822E796Da,205,0
Film54,0xFB4398669b66AEA13DF763F765A412611b73e933,205,0
sidmehra1992,0x8b8b367466CAD36cbbD3dde46682927371dFF630,205,0
vegasluna,0x19b9289b3429e2155D833E2EDBf0Df6CB3fA2fa6,205,0
inverses2,0x9DF52385D1a5B46d32665b6869D8eBbcF12Fc2b7,205,0
ismashugood,0x392319CD53fa7D2e9e738e1C66DF9929AaFd6168,136.5,0
evil_betty_,0x1A86440fD49a1e85C46c66ba64C46b98b0e3b6Ab,136.5,0
peppers_,0x32498e61176646Dee8DbC56f642bDa4cAc31AC6a,136.5,0
Allions1,0x27C1bEc62f02680b3A60B837A8139153D6eA2381,136.5,0
MrPuma86,0xe50B88C71E72138b20B5dB56254a7953D9813683,136.5,0
LoganGyre,0x8289E32357f716d689578A1CE7382e16B108C3bF,136.5,0
energetic-dad,0xC67FA671B98D861A9c956c3DA8C570c977aC8c15,136.5,0
BimblyByte,0x626570aC98091f2dBC3a6761A4d775449B86e24d,136.5,0
Ruzhyo04,0xfb702e95Fa231C5509487a9E99156003985FdB9e,136.5,0
porkbuffet,0x9E908EfE292817f208E413da6a8cE84B9f3285E3,136.5,0
PinkPuppyBall,0xa4f88C966Ec4537B9769Ff781bcf125Fc24E7e39,68,0
bro_can_u_even_carve,0x4aAF915967B41A77D11adca432a1a2779937e71C,68,0
Yoldark,0x1542cBd59A301e8b8bceD150c752e5a49D196F04,68,0
arc4angel100,0xb3B6C7969861da0A1042e7F390F9535Da7670774,68,0
ibbe6242,0xd04E07F5EC2ebE0E743B85BB21F3c99a8F6cAf2b,68,0
SauceMaster145,0xF79fBA163e9e5ccF83fc601552B1df880b782892,68,0
xui_nya,0xf1111592708949Fdd305F1ccdeb128B31de76FB2,68,0
Lexsteel11,0xc8B6ee0463144A18465024E0C7578579c033bB61,68,0
cutoffs89,0x602D1AD7395DAf8c1A07Ff8d8d82130532EA7DF8,68,0
coinsRus-2021,0x610C5Ad8799F645F4dE03dd9509428B96b3b4EA7,68,0
1-760-706-7425,0xD7bBD960731854EF2De33242205738968430b6bE,68,0
StackOwOFlow,0x2cb0C168112C70126f371107fb1A35B75E58D65a,68,0
NefariousNaz,0xAA39937AD52e1925c02D4D13EfD0A04AD260b0f5,68,0
muitosabao,0x0E4ce26D348D1E5b02e0B30c87608abF596854e2,68,0
DarkestTimelineJeff,0xa15499E085B440b04d790cbE24e03597E3717F3A,68,0
Mountain_Monke,0x9575bf85d26855C4Eb499CE1020De007CcE6493f,68,0
Littlebig4667,0x9D20bD90CD8b496b96F180AE4D505599169c2287,68,0
towjamb,0x6AA08E1E39958055836F31906C6ff8c072e8C0F3,68,0
Dajukz,0xff4163F1ef7C65fb11b5Fb231013f9ab3795b8E0,68,0
majorpickle01,0xe8BE5A3B1108AF490745AA88A4Db4b9015030Ece,68,0
na3than,0x88c9Af16a88487e43F3A8fDbf1580Ab6399FcDFF,68,0
Giga79,0xA50d3EE17c994864F88a2acc24303860Ebc81F50,68,0
ACE415_,0x1Ef3480b426dE435e4928922C2Ee57359E864F47,68,0
